name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
HAT-P-57 b,913,1.41 Jupiters,10.639,2015
HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
HAT-P-59 b,866,1.54 Jupiters,11.64,2021
HAT-P-5 b,989,0.98 Jupiters,11.954,2007
HAT-P-60 b,761,0.574 Jupiters,9.727,2021
HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
HAT-P-59 b,866,1.54 Jupiters,11.64,2021
HAT-P-5 b,989,0.98 Jupiters,11.954,2007
HAT-P-60 b,761,0.574 Jupiters,9.727,2021
HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-31 b,2525,0.88 Jupiters,13.315,2016
HATS-32 b,2431,0.92 Jupiters,14.386,2016
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-52 b,1811,2.24 Jupiters,13.844,2017
HATS-53 b,1911,0.595 Jupiters,13.944,2017
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-56 b,1841,0.602 Jupiters,11.477,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-58 A b,1317,1.03 Jupiters,11.572,2019
HATS-59 b,2097,0.806 Jupiters,14.033,2018
HATS-59 c,2097,12.7 Jupiters,14.033,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
